post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
151960283.25-min-video-censored-science-the,2024-11-21T14:36:23.756Z,true,2024-11-21T14:36:23.835Z,2024-11-21T14:36:23.835Z,newsletter,everyone,The Illusion of Consensus on Transgender Medicine for Kids | 25-min Video,The culture wars have gone too far. We uncover buried truths about transgender medicine for children that can bring us together across our differences.,
151030301.whos-fanning-the-flames-of-far-right,2024-11-01T14:50:07.390Z,true,2024-11-01T14:50:07.486Z,2024-11-01T14:50:07.486Z,newsletter,everyone,Who's Fanning the Flames of Far-Right Extremism?,The systems of power that have long manipulated and fueled the very extremism we’re now being told to fear. An inspiring call to rise above fear and polarization regardless of who's elected. ,
149876047.historic-senate-panel-exposes-how,2024-10-06T14:00:57.711Z,true,2024-10-06T14:00:57.890Z,2024-10-06T14:00:57.890Z,newsletter,everyone,Historic Senate Panel Exposes How the US Government Turns a Blind Eye to the Corporate Cartels Fueling America’s Health Crisis,"Giant corporations control our food and healthcare systems, fueling a chronic disease epidemic that's threatening the future of humanity.",
149566444.insights-from-near-death-experiences,2024-09-29T15:42:48.177Z,true,2024-09-29T15:42:48.306Z,2024-09-29T15:42:48.306Z,newsletter,everyone,Insights from Near-Death Experiences Remind Us of Who We Are and What Unites Us,At the heart of a collective shift in consciousness: Who are we? Why are we here? What are we truly capable of? Nothing shows this more clearly than the incredible phenomena of near-death experiences.,
148617445.new-video-reclaiming-our-power-to,2024-09-07T16:24:40.717Z,true,2024-09-07T16:24:40.790Z,2024-09-07T16:24:40.790Z,newsletter,everyone,Democracy Won’t Survive In These Culture Wars | 7-Min Video,Polarization is a sign that our socio-political structures have become too rigid and simplistic. We hold the power to heal the divides poisoning our conversations. ,
148450316.healing-the-culture-warsone-conscious,2024-09-03T14:36:58.346Z,true,2024-09-03T14:36:58.414Z,2024-09-03T14:36:58.414Z,newsletter,everyone,Healing the Culture Wars–One Conscious Conversation at a Time,We hold the power to heal the polarization poisoning our conversations.,
148080248.the-dark-truths-behind-the-us-war,2024-08-24T15:55:31.874Z,true,2024-08-24T15:55:31.950Z,2024-08-24T15:55:31.950Z,newsletter,everyone,How The Deep State Won the War on Drugs,"While the war on drugs targets everyday people, it ignores the activities of the rich and powerful. Both political parties and our media system do very little to hold these shadowy forces accountable.",
147319760.make-our-communities-healthier-againinspiring,2024-08-03T19:24:40.944Z,true,2024-08-03T19:24:41.015Z,2024-08-03T19:24:41.015Z,newsletter,everyone,Inspiring Remedies to the Chronic Illness Crisis,What if the negative news overload on America’s chronic illness crisis isn’t the full story? We have the solutions to make America healthier again. ,
147126697.how-elections-and-both-political,2024-07-29T14:26:36.057Z,true,2024-07-29T14:26:36.151Z,2024-07-29T14:26:36.151Z,newsletter,everyone,"When Both Sides Are Corrupt, Democracy Pays the Price: A Call to Heal the Divides","The root causes of America's polarization and division, the pervasive election corruption across both political parties, and the hidden powers that maintain control regardless of who's elected.",
146121210.behind-the-scenes-at-the-worlds-largest,2024-06-29T23:07:48.917Z,true,2024-06-29T23:07:48.993Z,2024-06-29T23:07:48.993Z,newsletter,everyone,Behind the Scenes at the World's Largest UFO/UAP Conference,I had the opportunity to talk to the leaders at the center of this movement at the 10th Anniversary of Contact in the Desert.,
145692889.unveiling-cosmic-secrets-black-budget,2024-06-16T12:33:13.892Z,true,2024-06-16T12:33:13.967Z,2024-06-16T12:33:13.967Z,newsletter,everyone,Unveiling Cosmic Secrets: Black Budget Tech and UFOs with Aerospace Expert Michael Schratt,The U.S. military and intelligence agencies have billions of dollars’ worth of secret projects they don’t want you to know about. Why the secrecy? What are they hiding?,
144727564.epstein-was-just-the-tip-of-the-iceberg,2024-05-17T15:52:09.179Z,true,2024-05-17T15:52:09.287Z,2024-05-17T15:52:09.287Z,newsletter,everyone,Epstein Was Just the Tip of the Iceberg: How Blackmail Subverts Democracy,"Blackmail is a weapon used by intelligence agencies with the purpose of destroying reputations, protecting criminal activities of the powerful, attacking activists, and influencing policies and laws.",
144537602.war-atrocities-cancel-culture-and,2024-05-11T17:41:43.927Z,true,2024-05-11T17:41:43.986Z,2024-05-11T17:41:43.986Z,newsletter,everyone,"War Atrocities, Cancel Culture, and Beyond—Deeply Inspiring Stories of Forgiveness and Healing","What does it mean to heal and forgive, in the face of the unspeakable? Or in the face of toxic cycles of dehumanization and polarization in society?",
143522574.mindful-news-brief-how-the-deep-state,2024-04-12T14:45:04.650Z,true,2024-04-12T14:45:04.837Z,2024-04-12T14:45:04.837Z,newsletter,everyone,How the Deep State Won the War on Drugs | 15-Min Video,"The War on Drugs protects the activities of the rich and powerful: military-intelligence interests within the US government, big banks, Big Pharma, and drug cartels.",
143304881.speculation-station-video-series,2024-04-05T17:10:12.246Z,true,2024-04-05T17:10:12.345Z,2024-04-05T17:10:12.345Z,newsletter,everyone,Speculation Station Video Series | First Stop: UFO Technology!,The most relevant and intriguing parts of current discussion about UFO/UAP technology. ,
143304872.a67,,false,,,podcast,only_paid,,,
142805287.mindful-news-brief-on-covid-lab-leak,2024-03-20T20:45:16.923Z,true,2024-03-20T20:45:17.226Z,2024-03-20T20:45:17.226Z,newsletter,everyone,"COVID: Natural Origin, Lab Leak, or Biological Warfare Operation? | 15-Min Video",The likely possibility that COVID escaped from a lab could be one of the most important inquiries of this century.,
142647836.mindful-news-brief-how-the-us-government,2024-03-15T15:56:41.491Z,true,2024-03-15T15:56:41.572Z,2024-03-15T15:56:41.572Z,newsletter,everyone,Mindful News Brief: How the US Government Facilitates Child Trafficking at the Border,"Welcome to our first Mindful News Brief series where we discuss highlights of our weekly newsletter summaries with nuance, uncensored investigation, and compassion for all sides.",
142647827.a88,,false,,,podcast,only_paid,,,
142647794.302,,false,,,newsletter,only_paid,,,
142462217.the-biggest-theft-of-classified-information,2024-03-09T18:55:21.036Z,true,2024-03-09T18:55:21.202Z,2024-03-09T18:55:21.202Z,newsletter,everyone,'The Biggest Theft of Classified Information in CIA History',"We rely on whistleblowers, journalists, and leaked documents to reveal the truth about the US military-intelligence machine. ",
142462021.the-uncensored-history-of-the-assassination,2024-03-09T18:45:32.812Z,true,2024-03-09T18:45:32.919Z,2024-03-09T18:45:32.919Z,newsletter,everyone,'One of Our Nation's Darkest Secrets:' The Real Story Behind the Assassination of Martin Luther King Jr.,"Nefarious efforts by the US military, intelligence, and law enforcement machinery to harass, blackmail, and discredit Dr. King. Undeniable evidence connects these abuses of power to his assassination.",
142461451.new-revelations-about-covid-vaccine,2024-03-09T18:36:49.697Z,true,2024-03-09T18:36:49.773Z,2024-03-09T18:36:49.773Z,newsletter,everyone,The Nuanced View on COVID Vaccine Injuries and Lawsuits,A nuanced look into a censored and controversial topic. Undisclosed risks of the COVID vaccine are part of a larger story of Big Pharma corruption and media propaganda. ,
141749910.c34,,false,,,newsletter,everyone,,,
141749158.scientific-evidence-for-an-afterlife,2024-02-17T03:11:39.224Z,true,2024-02-17T03:11:39.296Z,2024-02-17T03:11:39.296Z,newsletter,everyone,Scientific Evidence for an Afterlife,"For those who have not previously looked into this, it’s surprisingly robust.",
141749076.coming-soon,2024-02-17T02:03:40.855Z,true,2024-02-17T02:03:40.855Z,2024-02-17T02:03:40.855Z,newsletter,everyone,Welcome to WantToKnow.info.,We live in a complex world. Mainstream media rarely tells us the whole story. We transcend partisan politics by investigating the deeper forces shaping society regardless of who's elected in office.,
